actionAcceptedList0;actionAcceptedList1;actionAcceptedList2;actionAcceptedList3;[step];averageWaitingAction1;averageWaitingAction2;averageWaitingAction3;totalwaitingtime
12;123;3;1;487;7,402777777777778;11,96551724137931;12,857142857142858;10,741812625433317
123;123;13;12;486;5,038709677419355;11,19047619047619;16;10,743061955965182
12;23;123;123;485;7,622641509433962;9,277777777777779;15,333333333333334;10,744584206848359
123;123;23;1;493;6,537931034482758;12,03448275862069;13,666666666666666;10,746360153256704
12;123;123;23;485;5,832214765100671;9,6;16,833333333333332;10,755182699478
13;2;123;12;485;6,673611111111111;11,84375;13,75;10,755787037037038
123;23;13;123;489;6,666666666666667;9,857142857142858;15,75;10,757936507936508
123;2;123;1;485;7,0855263157894735;10,227272727272727;15;10,770933014354066
12;123;12;123;485;6,022058823529412;10,857142857142858;15,444444444444445;10,774548708372238
123;12;23;13;489;5,601351351351352;9,925925925925926;16,8;10,775759092425758
2;123;123;123;485;7,25;11,478260869565217;13,6;10,77608695652174
12;23;123;12;491;5,687074829931973;10,5;16,142857142857142;10,776643990929704
12;123;13;1;485;5,114864864864865;11,36;15,857142857142858;10,777335907335905
123;123;13;13;486;5,691275167785235;11,846153846153847;14,8;10,779143004646363
13;123;13;123;487;5,6466666666666665;11,142857142857142;15,555555555555555;10,781693121693122
13;12;13;2;489;5,405405405405405;10,615384615384615;16,333333333333332;10,784707784707784
23;123;1;12;486;5,934640522875817;10,095238095238095;16,333333333333332;10,78773731714908
123;13;13;23;485;5,590909090909091;12,272727272727273;14,5;10,787878787878787
123;123;2;13;486;6,229166666666667;12,185185185185185;14;10,804783950617283
12;123;1;23;494;5,33112582781457;10,26086956521739;16,833333333333332;10,80844290878843
13;2;12;13;493;6,929577464788732;12,5;13;10,809859154929578
12;123;13;3;486;11,544827586206896;20,885714285714286;0;10,810180623973727
13;123;1;12;487;5,1506849315068495;16,533333333333335;10,75;10,811339421613395
13;23;12;123;485;6,2064516129032254;10,894736842105264;15,333333333333334;10,811507262780609
12;123;1;13;485;5,690140845070423;11;15,75;10,813380281690142
13;12;23;1;485;6,313725490196078;8,631578947368421;17,5;10,815101479188167
1;23;123;1;485;5,762820512820513;11,68421052631579;15;10,815677013045436
23;1;123;12;486;6,716216216216216;9,6;16,142857142857142;10,81969111969112
123;3;12;1;485;7,370860927152318;11,291666666666666;13,8;10,820842531272996
123;13;123;13;486;5,533333333333333;11,380952380952381;15,555555555555555;10,823280423280423
13;1;123;123;492;5,3624161073825505;14,464285714285714;12,666666666666666;10,831122829444977
13;2;13;123;486;6,86;10,136363636363637;15,5;10,832121212121214
23;13;12;1;494;8,006993006993007;10,5;14;10,835664335664335
12;2;13;123;487;7,863636363636363;10,047619047619047;14,6;10,837085137085138
23;12;13;12;485;6,886666666666667;10,24;15,4;10,84222222222222
123;123;123;2;491;6,576923076923077;9,705882352941176;16,285714285714285;10,85617323852618
123;2;1;123;495;6,134228187919463;11,44;15;10,85807606263982
123;23;13;13;486;7,1824324324324325;12,142857142857142;13,25;10,858429858429858
12;123;1;23;485;6,0215827338129495;11,208333333333334;15,352941176470589;10,860952414538957
12;1;23;123;486;5,4520547945205475;9,633333333333333;17,5;10,86179604261796
13;12;123;2;486;6,1066666666666665;9,88;16,6;10,862222222222224
1;23;123;123;487;6,32;11,047619047619047;15,222222222222221;10,863280423280424
123;23;23;12;485;13,482758620689655;10,117647058823529;9;10,866801893171063
13;13;12;12;486;5,731034482758621;12,166666666666666;14,727272727272727;10,874991292232671
13;1;123;2;494;5,986666666666666;10,05;16,6;10,87888888888889
12;123;13;13;489;5,358974358974359;10,277777777777779;17;10,878917378917379
